record_type,user_id,name,friend_id
friend,qUUOvfrVdyRnyABbUUnl0A,Ashu,cVABSU7O9zCe2BxOrBHOvQ
friend,PND1GD46KWwR8pCbjVJtZQ,Richard,DyWyrCINZv2SnOM_g2kD3g
friend,PND1GD46KWwR8pCbjVJtZQ,Richard,i4MKtZoii8WCSq518WvIkw
friend,PND1GD46KWwR8pCbjVJtZQ,Richard,u_GXHKdCfmW9FgxxkW70xA
friend,PND1GD46KWwR8pCbjVJtZQ,Richard,9gK9KtgqJawfctRIoWWErw
friend,PND1GD46KWwR8pCbjVJtZQ,Richard,arqaK00Zncglq8dBYePgBw
friend,PND1GD46KWwR8pCbjVJtZQ,Richard,QptADRB2XF0faOcduKuAkw
friend,PND1GD46KWwR8pCbjVJtZQ,Richard,GEm4DUvXcV70wFgyevCd8g
friend,PND1GD46KWwR8pCbjVJtZQ,Richard,JvJm3l45Oubp5ryHlgesPg
friend,PND1GD46KWwR8pCbjVJtZQ,Richard,MolVPQjSinRANt3HMLbphw
friend,PND1GD46KWwR8pCbjVJtZQ,Richard,6N7lNEYA9Fhytv8rqlt1gA
friend,oyiK-AV48ZvkAV1guDyNNA,Ian,xRk5PT33ei3Y-tjkDZVQqA
friend,oyiK-AV48ZvkAV1guDyNNA,Ian,JL7xInqa_dcw8nqWGKs6Gg
friend,oyiK-AV48ZvkAV1guDyNNA,Ian,fLO7d2AnC6Cviznu85VULg
friend,oyiK-AV48ZvkAV1guDyNNA,Ian,FIuMt7vNZ812YYJ24rgBhw
friend,oyiK-AV48ZvkAV1guDyNNA,Ian,vCE4Noqz1H0VHKjUNGIRJw
friend,oyiK-AV48ZvkAV1guDyNNA,Ian,evqhQFcfvJMN0Z-PalCq1g
friend,_zDy7VyK8w7R_Je_xFVGnw,Jake,llNkaLJBG2viceIxPH-nEQ
friend,L4SLdpX4Zcol5iR8qr5rUg,Jamie,4gj4xnRJ89Z59DaiMnHW1w
friend,VRy5rz3CI1XzHlpukQ_heQ,Hannah,V6rhoTCw7S6H8eHwv2M6Vg
friend,VRy5rz3CI1XzHlpukQ_heQ,Hannah,M6Wi9pKDx-W6rGgmf9GVMw
friend,VRy5rz3CI1XzHlpukQ_heQ,Hannah,9tXL9eJNIi9SL5pdCYeyZQ
friend,VRy5rz3CI1XzHlpukQ_heQ,Hannah,eshIqohS-9FMLdKOhTr2Ng
friend,3wFp7APS-1nZv1fWpw8oIw,IRepairs,a5LXuib4KxXbI0mCDfkl9Q
friend,le45WYMBB-S-pXHgak1EEw,Julia,ojHVOhfglDFce_L8-KnlJg
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,94N07GeXPUyC8baIz0l3UA
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,WdzFfqEoVWqh8bp9mkzPfA
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,63rmu8axehcaFxQ3TyIFkQ
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,abdCwoLgRadBi-1KIUF64Q
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,6KUc5iSU3I5Yysqw2Rl60A
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,SglNLYgptgxAwbMW6KMqPQ
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,G_BvSxt71MqF_x4jgEyqSA
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,Qt0HZ4p9E428eyZ0lJeZIg
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,8LYEPulG-ltZro0oEBREdw
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,pFqG9yX3tfMK2ZeGfKu1nA
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,QB2h8hRFcVokhZuajF7Wiw
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,aBeFJbAYr65ZhmdLghb4zw
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,pfTTMGZc1JYI5LYqhITRgw
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,NtqtKtuFNLXFF8gqb9td-g
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,oLeKT02xAxt4wxs-vsF9Kg
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,4W5EgeDp9DEExTt-vvaJLw
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,GJrGPKF2xxB06Es6aH1VWg
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,hBD_m8ElgHF0vcBXu1nx-A
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,4zbjhRGJuiUKcZGgXlmlQg
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,aeQhJ-uEUB2N7G0WESa3OA
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,BbZcaLwLEe7TOSqZ69Eh7Q
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,0yEtLJktmRX7FItu9-Zeyw
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,Vb2AYcrABkCTmycqJrkeiA
friend,P8--AodlkDIli1eQVeQkHA,Elizabeth,f0vbSBkrahKblT9kjS31dw
